Loja;mes;ano;volume
Loja 13;Janeiro;2017;3.825
Loja 13;Fevereiro;2017;0
Loja 13;Março;2017;0
Loja 13;Abril;2017;2.725
Loja 13;Maio;2017;13.275
Loja 13;Junho;2017;1.95
Loja 13;Julho;2017;2.975
Loja 13;Agosto;2017;2.575
Loja 13;Setembro;2017;2.5
Loja 13;Outubro;2017;3
Loja 13;Novembro;2017;0
Loja 13;Dezembro;2017;0
Loja 13;Janeiro;2018;0
Loja 13;Fevereiro;2018;0.1
Loja 13;Março;2018;0.6
Loja 13;Abril;2018;10.25
Loja 13;Maio;2018;7.225
Loja 13;Junho;2018;6.975
Loja 13;Julho;2018;10.875
Loja 13;Agosto;2018;1.8
Loja 13;Setembro;2018;3.775
Loja 13;Outubro;2018;9.175
Loja 13;Novembro;2018;5.775
Loja 13;Dezembro;2018;4.15
Loja 13;Janeiro;2019;0.075
Loja 13;Fevereiro;2019;0.2
Loja 13;Março;2019;1.125
Loja 13;Abril;2019;1.4
Loja 13;Maio;2019;2.875
Loja 13;Junho;2019;5.35
Loja 13;Julho;2019;11.2
Loja 13;Agosto;2019;25.1
Loja 13;Setembro;2019;1.2
Loja 13;Outubro;2019;0.45
Loja 13;Novembro;2019;6.25
Loja 13;Dezembro;2019;3.275
Loja 13;Janeiro;2020;0
Loja 13;Fevereiro;2020;0.075
Loja 13;Março;2020;0.325
Loja 13;Abril;2020;3.15
Loja 13;Maio;2020;
Loja 13;Junho;2020;
Loja 13;Julho;2020;
Loja 13;Agosto;2020;
Loja 13;Setembro;2020;
Loja 13;Outubro;2020;
Loja 13;Novembro;2020;
Loja 13;Dezembro;2020;
Loja 05;Janeiro;2015;13.25
Loja 05;Fevereiro;2015;3.15
Loja 05;Março;2015;5.2
Loja 05;Abril;2015;22.375
Loja 05;Maio;2015;17.225
Loja 05;Junho;2015;45.775
Loja 05;Julho;2015;60.05
Loja 05;Agosto;2015;70.75
Loja 05;Setembro;2015;27.625
Loja 05;Outubro;2015;9.725
Loja 05;Novembro;2015;2.25
Loja 05;Dezembro;2015;16.35
Loja 05;Janeiro;2016;0.65
Loja 05;Fevereiro;2016;2.25
Loja 05;Março;2016;2.125
Loja 05;Abril;2016;2.5
Loja 05;Maio;2016;14.3
Loja 05;Junho;2016;29.5
Loja 05;Julho;2016;30.675
Loja 05;Agosto;2016;71.575
Loja 05;Setembro;2016;19.525
Loja 05;Outubro;2016;3.175
Loja 05;Novembro;2016;16.4
Loja 05;Dezembro;2016;10.975
Loja 05;Janeiro;2017;0
Loja 05;Fevereiro;2017;2.15
Loja 05;Março;2017;4.475
Loja 05;Abril;2017;25.125
Loja 05;Maio;2017;46.05
Loja 05;Junho;2017;41.675
Loja 05;Julho;2017;85.575
Loja 05;Agosto;2017;105.025
Loja 05;Setembro;2017;79.325
Loja 05;Outubro;2017;53.925
Loja 05;Novembro;2017;10.925
Loja 05;Dezembro;2017;0.7
Loja 05;Janeiro;2018;1.25
Loja 05;Fevereiro;2018;1.25
Loja 05;Março;2018;2.25
Loja 05;Abril;2018;2.825
Loja 05;Maio;2018;31.575
Loja 05;Junho;2018;23.95
Loja 05;Julho;2018;28.975
Loja 05;Agosto;2018;35.9
Loja 05;Setembro;2018;17.6
Loja 05;Outubro;2018;4.95
Loja 05;Novembro;2018;10.225
Loja 05;Dezembro;2018;8.35
Loja 05;Janeiro;2019;1.8
Loja 05;Fevereiro;2019;3.225
Loja 05;Março;2019;5.55
Loja 05;Abril;2019;17.875
Loja 05;Maio;2019;10.925
Loja 05;Junho;2019;31.5
Loja 05;Julho;2019;93.625
Loja 05;Agosto;2019;77.375
Loja 05;Setembro;2019;26.75
Loja 05;Outubro;2019;12.225
Loja 05;Novembro;2019;14.475
Loja 05;Dezembro;2019;9.3
Loja 05;Janeiro;2020;3.225
Loja 05;Fevereiro;2020;2.65
Loja 05;Março;2020;4.975
Loja 05;Abril;2020;19.325
Loja 05;Maio;2020;
Loja 05;Junho;2020;
Loja 05;Julho;2020;
Loja 05;Agosto;2020;
Loja 05;Setembro;2020;
Loja 05;Outubro;2020;
Loja 05;Novembro;2020;
Loja 05;Dezembro;2020;
Loja 08;Janeiro;2015;4.15
Loja 08;Fevereiro;2015;0.75
Loja 08;Março;2015;1.675
Loja 08;Abril;2015;1.75
Loja 08;Maio;2015;8.075
Loja 08;Junho;2015;7.05
Loja 08;Julho;2015;9.225
Loja 08;Agosto;2015;7.775
Loja 08;Setembro;2015;9.3
Loja 08;Outubro;2015;3.425
Loja 08;Novembro;2015;1.2
Loja 08;Dezembro;2015;0.075
Loja 08;Janeiro;2016;0
Loja 08;Fevereiro;2016;0
Loja 08;Março;2016;0
Loja 08;Abril;2016;0.125
Loja 08;Maio;2016;1.875
Loja 08;Junho;2016;21.425
Loja 08;Julho;2016;8.275
Loja 08;Agosto;2016;16.775
Loja 08;Setembro;2016;4.4
Loja 08;Outubro;2016;0
Loja 08;Novembro;2016;0
Loja 08;Dezembro;2016;0
Loja 08;Janeiro;2017;0
Loja 08;Fevereiro;2017;0.625
Loja 08;Março;2017;1.3
Loja 08;Abril;2017;3.2
Loja 08;Maio;2017;4.1
Loja 08;Junho;2017;9.25
Loja 08;Julho;2017;28.475
Loja 08;Agosto;2017;26.05
Loja 08;Setembro;2017;19.3
Loja 08;Outubro;2017;9.25
Loja 08;Novembro;2017;0
Loja 08;Dezembro;2017;0
Loja 08;Janeiro;2018;0
Loja 08;Fevereiro;2018;0
Loja 08;Março;2018;0.175
Loja 08;Abril;2018;0.25
Loja 08;Maio;2018;5.8
Loja 08;Junho;2018;11.65
Loja 08;Julho;2018;15.4
Loja 08;Agosto;2018;8.775
Loja 08;Setembro;2018;12.425
Loja 08;Outubro;2018;2.025
Loja 08;Novembro;2018;2.425
Loja 08;Dezembro;2018;0.05
Loja 08;Janeiro;2019;0
Loja 08;Fevereiro;2019;0
Loja 08;Março;2019;0.55
Loja 08;Abril;2019;0.125
Loja 08;Maio;2019;3.325
Loja 08;Junho;2019;17.775
Loja 08;Julho;2019;29.725
Loja 08;Agosto;2019;11.475
Loja 08;Setembro;2019;5.375
Loja 08;Outubro;2019;1.575
Loja 08;Novembro;2019;1.275
Loja 08;Dezembro;2019;1.075
Loja 08;Janeiro;2020;0.65
Loja 08;Fevereiro;2020;0.3
Loja 08;Março;2020;0.55
Loja 08;Abril;2020;1.325
Loja 08;Maio;2020;
Loja 08;Junho;2020;
Loja 08;Julho;2020;
Loja 08;Agosto;2020;
Loja 08;Setembro;2020;
Loja 08;Outubro;2020;
Loja 08;Novembro;2020;
Loja 08;Dezembro;2020;
Loja 99;Janeiro;2015;4.75
Loja 99;Fevereiro;2015;26.05
Loja 99;Março;2015;108
Loja 99;Abril;2015;352.675
Loja 99;Maio;2015;671.025
Loja 99;Junho;2015;915.65
Loja 99;Julho;2015;965.875
Loja 99;Agosto;2015;741.175
Loja 99;Setembro;2015;464.1
Loja 99;Outubro;2015;136.15
Loja 99;Novembro;2015;81.75
Loja 99;Dezembro;2015;11.175
Loja 99;Janeiro;2016;31.05
Loja 99;Fevereiro;2016;59.7
Loja 99;Março;2016;96.775
Loja 99;Abril;2016;157.375
Loja 99;Maio;2016;631.9
Loja 99;Junho;2016;850.2
Loja 99;Julho;2016;878.3
Loja 99;Agosto;2016;1072.05
Loja 99;Setembro;2016;376.775
Loja 99;Outubro;2016;91.45
Loja 99;Novembro;2016;8.55
Loja 99;Dezembro;2016;6.5
Loja 99;Janeiro;2017;1
Loja 99;Fevereiro;2017;82.2
Loja 99;Março;2017;142.9
Loja 99;Abril;2017;371.55
Loja 99;Maio;2017;776.425
Loja 99;Junho;2017;752.25
Loja 99;Julho;2017;964.65
Loja 99;Agosto;2017;1114.15
Loja 99;Setembro;2017;491.225
Loja 99;Outubro;2017;254.2
Loja 99;Novembro;2017;78.05
Loja 99;Dezembro;2017;0
Loja 99;Janeiro;2018;43.55
Loja 99;Fevereiro;2018;38.7
Loja 99;Março;2018;108.875
Loja 99;Abril;2018;391.65
Loja 99;Maio;2018;858.925
Loja 99;Junho;2018;1578.15
Loja 99;Julho;2018;1943.125
Loja 99;Agosto;2018;1256.825
Loja 99;Setembro;2018;728.25
Loja 99;Outubro;2018;233.95
Loja 99;Novembro;2018;70.8
Loja 99;Dezembro;2018;0.5
Loja 99;Janeiro;2019;19.1
Loja 99;Fevereiro;2019;67.7
Loja 99;Março;2019;180.25
Loja 99;Abril;2019;245.975
Loja 99;Maio;2019;901.35
Loja 99;Junho;2019;1064.65
Loja 99;Julho;2019;894.425
Loja 99;Agosto;2019;676.45
Loja 99;Setembro;2019;145.85
Loja 99;Outubro;2019;136.2
Loja 99;Novembro;2019;74
Loja 99;Dezembro;2019;48
Loja 99;Janeiro;2020;64
Loja 99;Fevereiro;2020;79.25
Loja 99;Março;2020;114.95
Loja 99;Abril;2020;183.25
Loja 99;Maio;2020;
Loja 99;Junho;2020;
Loja 99;Julho;2020;
Loja 99;Agosto;2020;
Loja 99;Setembro;2020;
Loja 99;Outubro;2020;
Loja 99;Novembro;2020;
Loja 99;Dezembro;2020;
Loja 11;Janeiro;2015;0
Loja 11;Fevereiro;2015;0
Loja 11;Março;2015;7
Loja 11;Abril;2015;26.5
Loja 11;Maio;2015;16.25
Loja 11;Junho;2015;108.5
Loja 11;Julho;2015;1
Loja 11;Agosto;2015;0.025
Loja 11;Setembro;2015;22.75
Loja 11;Outubro;2015;0
Loja 11;Novembro;2015;0
